"Survey";"Date";"Longitude";"Latitude";"Pesc";"Psem";"Total";"Sea";"Coast";"Depth";"Mud";"DayOfYear";"ElapsedDays"
"Albatross";1986-03-10;141.65;-12.65;0;424.660065269384;424.660065269384;0.0696419413859247;30.661264;7.48611111111111;82.1150689;68;5912
"Albatross";1986-03-10;141.55;-12.55;0;109.583678601552;109.583678601552;0.0346554469023099;30.745707;12.6666666666667;63.6190290816327;68;5912
"Albatross";1986-03-10;141.55;-12.45;0;285.158599006175;285.158599006175;0.0762758153020903;30.844183;17.5;36.7512795;68;5912
"Albatross";1986-03-10;141.55;-12.35;0;61.1010259939947;61.1010259939947;0.114856432122885;30.942569;21.0486111111111;27.89221557;68;5912
"Albatross";1986-03-11;141.55;-12.25;62.7132365708117;34.8985056575687;97.6117422283803;0.150053323855199;31.040819;23.6736111111111;21.0926921;69;5913
"Albatross";1986-03-11;141.45;-12.25;0;171.366744092303;171.366744092303;0.246440662229275;31.026793;31.8263888888889;32.0756842;69;5913
"Albatross";1986-03-11;141.45;-12.35;268.590124908708;168.48297874161;437.073103650318;0.204919496388232;30.928521;30.5902777777778;38.6616449;69;5913
"Albatross";1986-03-11;141.45;-12.45;0;145.670276934408;145.670276934408;0.16857639217875;30.83012;30.9305555555556;45.8201387;69;5913
"Albatross";1986-03-11;141.45;-12.55;0;611.369232141788;611.369232141788;0.127283148923964;30.731634;30.4166666666667;53.9037277;69;5913
"Albatross";1986-03-11;141.35;-12.45;54.0847758910829;135.969850989272;190.054626880355;0.256906597813286;30.801987;39.7361111111111;36.7473185;69;5913
"Albatross";1986-03-11;141.25;-12.45;62.3949562773292;328.968923892264;391.363880169593;0.347851980014478;30.787919;43.8611111111111;20.22919245;69;5913
"Albatross";1986-03-11;141.35;-12.65;0;326.958763670111;326.958763670111;0.237488947111224;30.604967;38.7083333333333;42.2623109;69;5913
"Albatross";1986-03-12;141.25;-12.75;16.3723826351703;105.615625933774;121.988008568944;0.369595725083493;30.492384;41.9305555555556;33.6998084;70;5914
"Albatross";1986-03-12;141.35;-12.75;0;232.223243545928;232.223243545928;0.285658887486452;30.506456;36.6458333333333;54.1593614;70;5914
